text|[[208.35, 356.25], [257.46, 409.09]]
text|[[140.07, 242.58], [257.22, 295.18]]
text|[[56.27, 16.32], [62.58, 461.45]]
text|[[262.44, 243.3], [278.2, 354.55]]
text|[[159.35, 76.67], [162.02, 88.76]]
text|[[109.02, 413.81], [181.3, 466.17]]
text|[[260.5, 15.84], [325.5, 180.91]]
text|[[746.92, 417.07], [755.53, 446.7]]
text|[[703.02, 410.18], [736.01, 462.18]]
text|[[622.13, 15.24], [711.63, 121.89]]
text|[[208.35, 66.51], [214.17, 117.78]]
text|[[74.7, 185.26], [106.24, 239.19]]
text|[[109.15, 299.53], [181.3, 351.77]]
text|[[747.04, 64.82], [750.8, 114.88]]
text|[[504.98, 13.66], [615.58, 71.95]]
text|[[519.54, 238.95], [546.22, 391.92]]
text|[[746.44, 352.62], [755.65, 409.33]]
text|[[240.85, 141.97], [254.43, 149.71]]
text|[[160.2, 70.74], [615.58, 124.43]]
text|[[634.74, 411.15], [689.8, 460.73]]
text|[[158.87, 76.67], [159.35, 126.49]]
text|[[281.72, 240.28], [508.98, 294.33]]
text|[[208.59, 298.44], [357.39, 351.53]]
text|[[331.32, 14.63], [451.99, 67.84]]
text|[[716.48, 26.12], [718.67, 122.38]]
text|[[724.37, 13.79], [745.47, 120.93]]
text|[[601.52, 128.67], [635.47, 285.38]]
text|[[751.89, 17.53], [755.17, 19.11]]
text|[[214.17, 21.52], [214.41, 117.78]]
text|[[262.44, 354.55], [278.2, 463.87]]
text|[[138.62, 186.35], [182.15, 238.47]]
text|[[690.77, 454.68], [699.26, 458.55]]
text|[[331.44, 127.46], [591.09, 180.42]]
text|[[207.86, 406.92], [624.8, 465.32]]
text|[[386.86, 184.77], [425.06, 293.12]]
text|[[206.53, 185.38], [357.39, 238.34]]
text|[[367.22, 295.78], [382.74, 406.92]]
text|[[746.44, 409.33], [755.65, 411.75]]
text|[[467.63, 15.96], [498.92, 119.96]]
text|[[638.87, 126.13], [753.59, 178.37]]
text|[[109.51, 186.59], [137.52, 295.3]]
text|[[74.7, 239.19], [106.24, 467.74]]
text|[[281.48, 352.26], [745.35, 408.49]]
text|[[187.49, 202.67], [200.34, 437.27]]
text|[[367.22, 186.23], [382.74, 295.78]]
text|[[426.4, 181.51], [754.2, 238.95]]
text|[[549.0, 238.34], [754.81, 293.37]]
text|[[145.77, 76.67], [158.87, 131.81]]
text|[[386.74, 294.94], [755.41, 352.26]]
text|[[29.59, 60.46], [48.51, 422.27]]
text|[[109.15, 356.73], [181.42, 409.58]]
